date,open,high,low,close,volume
2019-09-19,3.54,3.54,3.54,3.54,0
2019-09-20,3.54,3.54,3.54,3.54,0
2019-09-23,3.54,3.54,3.54,3.54,0
2019-09-24,3.54,3.54,3.54,3.54,0
2019-09-25,3.54,3.54,3.54,3.54,0
2019-09-26,3.54,3.54,3.54,3.54,0
2019-09-27,3.54,3.54,3.54,3.54,0
2019-09-30,3.54,3.54,3.54,3.54,0
2019-10-01,3.54,3.54,3.54,3.54,0
2019-10-02,3.54,3.54,3.54,3.54,0
2019-10-03,3.54,3.54,3.54,3.54,0
2019-10-04,3.54,3.54,3.54,3.54,0
2019-10-07,3.54,3.54,3.54,3.54,0
2019-10-08,3.54,3.54,3.54,3.54,0
2019-10-09,3.54,3.54,3.54,3.54,0
2019-10-10,3.54,3.54,3.54,3.54,0
2019-10-11,3.54,3.54,3.54,3.54,0
2019-10-14,3.54,3.54,3.54,3.54,0
2019-10-15,3.54,3.54,3.54,3.54,0
2019-10-16,3.54,3.54,3.54,3.54,0
2019-10-17,3.54,3.54,3.54,3.54,0
2019-10-18,3.54,3.54,3.54,3.54,0
2019-10-21,3.54,3.54,3.54,3.54,0
2019-10-22,3.54,3.54,3.54,3.54,0
2019-10-23,3.54,3.54,3.54,3.54,0
2019-10-24,3.54,3.54,3.54,3.54,0
2019-10-25,3.54,3.54,3.54,3.54,0
2019-10-28,3.54,3.54,3.54,3.54,0
2019-10-29,3.54,3.54,3.54,3.54,0
2019-10-30,3.54,3.54,3.54,3.54,0
2019-10-31,3.54,3.54,3.54,3.54,0
2019-11-01,3.54,3.54,3.54,3.54,0
2019-11-04,3.89,3.89,3.89,3.89,100
2019-11-05,3.89,3.89,3.89,3.89,0
2019-11-06,3.89,3.89,3.89,3.89,0
2019-11-07,3.65,3.65,3.65,3.65,100
2019-11-08,3.65,3.65,3.65,3.65,0
2019-11-11,3.65,3.65,3.65,3.65,0
2019-11-12,3.65,3.65,3.65,3.65,0
2019-11-13,3.65,3.65,3.65,3.65,0
2019-11-14,3.65,3.65,3.65,3.65,0
2019-11-15,3.54,3.54,3.31,3.31,10000
2019-11-18,3.31,3.31,3.31,3.31,0
2019-11-19,3.31,3.31,3.31,3.31,0
2019-11-20,3.31,3.31,3.31,3.31,0
2019-11-21,3.6,3.6,3.6,3.6,100
2019-11-22,3.48,3.94,3.48,3.94,600
2019-11-25,4.06,4.06,4.06,4.06,400
2019-11-26,3.65,3.65,3.65,3.65,100
2019-11-27,3.65,3.65,3.65,3.65,0
2019-11-28,4.0,4.0,4.0,4.0,500
2019-11-29,3.65,3.65,3.65,3.65,100
2019-12-02,3.48,4.0,3.48,4.0,300
2019-12-03,3.65,3.65,3.65,3.65,300
2019-12-04,4.0,4.0,4.0,4.0,300
2019-12-05,3.65,3.65,3.65,3.65,300
2019-12-06,3.65,3.65,3.65,3.65,0
2019-12-09,4.0,4.0,4.0,4.0,200
2019-12-10,3.65,3.65,3.65,3.65,800
2019-12-11,3.65,3.71,3.65,3.71,1400
2019-12-12,3.71,3.71,3.71,3.71,0
2019-12-13,3.71,3.71,3.71,3.71,0
2019-12-16,3.71,3.71,3.71,3.71,0
2019-12-17,3.71,3.71,3.71,3.71,0
2019-12-18,3.71,3.71,3.71,3.71,0
2019-12-19,3.94,3.94,3.94,3.94,100
2019-12-20,3.94,3.94,3.94,3.94,0
2019-12-23,3.94,3.94,3.94,3.94,0
2019-12-24,4.0,4.0,4.0,4.0,100
2019-12-25,4.0,4.0,4.0,4.0,0
2019-12-26,4.0,4.0,4.0,4.0,0
2019-12-27,4.0,4.0,4.0,4.0,0
2019-12-30,4.0,4.0,4.0,4.0,0
2019-12-31,4.0,4.0,4.0,4.0,0
2020-01-02,4.0,4.0,4.0,4.0,0
2020-01-03,4.0,4.0,4.0,4.0,0
2020-01-06,4.0,4.0,4.0,4.0,0
2020-01-07,4.0,4.0,4.0,4.0,0
2020-01-08,4.0,4.0,4.0,4.0,0
2020-01-09,4.0,4.0,4.0,4.0,0
2020-01-10,4.0,4.0,4.0,4.0,0
2020-01-13,4.0,4.0,4.0,4.0,0
2020-01-14,4.0,4.0,4.0,4.0,0
2020-01-15,4.0,4.0,4.0,4.0,0
2020-01-16,4.0,4.0,4.0,4.0,0
2020-01-17,4.0,4.0,4.0,4.0,0
2020-01-20,4.0,4.0,4.0,4.0,0
2020-01-21,4.0,4.0,4.0,4.0,0
2020-01-22,4.0,4.0,4.0,4.0,0
2020-01-30,4.0,4.0,4.0,4.0,0
2020-01-31,4.0,4.0,4.0,4.0,0
2020-02-03,4.0,4.0,4.0,4.0,0
2020-02-04,4.0,4.0,4.0,4.0,0
2020-02-05,4.0,4.0,4.0,4.0,100
2020-02-06,4.0,4.0,4.0,4.0,0
2020-02-07,4.0,4.0,4.0,4.0,0
2020-02-10,4.0,4.0,4.0,4.0,0
2020-02-11,4.0,4.0,4.0,4.0,0
2020-02-12,4.0,4.0,4.0,4.0,0
2020-02-13,4.0,4.0,4.0,4.0,0
2020-02-14,4.0,4.0,4.0,4.0,0
2020-02-17,4.0,4.0,4.0,4.0,0
2020-02-18,4.0,4.0,4.0,4.0,0
2020-02-19,4.0,4.0,4.0,4.0,0
2020-02-20,4.0,4.0,4.0,4.0,0
2020-02-21,4.0,4.0,4.0,4.0,0
2020-02-24,4.0,4.0,4.0,4.0,0
2020-02-25,4.0,4.0,4.0,4.0,0
2020-02-26,4.0,4.0,4.0,4.0,0
2020-02-27,4.0,4.0,4.0,4.0,0
2020-02-28,4.0,4.0,4.0,4.0,0
2020-03-02,4.0,4.0,4.0,4.0,0
2020-03-03,4.0,4.0,4.0,4.0,0
2020-03-04,4.0,4.0,4.0,4.0,0
2020-03-05,4.0,4.0,4.0,4.0,0
2020-03-06,4.0,4.0,4.0,4.0,0
2020-03-09,4.0,4.0,4.0,4.0,0
2020-03-10,4.0,4.0,4.0,4.0,0
2020-03-11,4.0,4.0,4.0,4.0,0
2020-03-12,4.0,4.0,4.0,4.0,0
2020-03-13,4.0,4.0,4.0,4.0,0
2020-03-16,4.0,4.0,4.0,4.0,0
2020-03-17,4.0,4.0,4.0,4.0,0
2020-03-18,4.0,4.0,4.0,4.0,0
2020-03-19,4.0,4.0,4.0,4.0,0
2020-03-20,4.0,4.0,4.0,4.0,0
2020-03-23,4.0,4.0,4.0,4.0,0
2020-03-24,4.0,4.0,4.0,4.0,0
2020-03-25,4.0,4.0,4.0,4.0,0
2020-03-26,4.0,4.0,4.0,4.0,0
2020-03-27,4.0,4.0,4.0,4.0,0
2020-03-30,4.0,4.0,4.0,4.0,0
2020-03-31,4.0,4.0,4.0,4.0,0
2020-04-01,4.0,4.0,4.0,4.0,0
2020-04-03,4.0,4.0,4.0,4.0,0
2020-04-06,4.0,4.0,4.0,4.0,0
2020-04-07,4.0,4.0,4.0,4.0,0
2020-04-08,4.0,4.0,4.0,4.0,0
2020-04-09,4.0,4.0,4.0,4.0,0
2020-04-10,4.0,4.0,4.0,4.0,0
2020-04-13,4.0,4.0,4.0,4.0,0
2020-04-14,4.0,4.0,4.0,4.0,0
2020-04-15,4.0,4.0,4.0,4.0,0
2020-04-16,4.0,4.0,4.0,4.0,0
2020-04-17,4.0,4.0,4.0,4.0,0
2020-04-20,4.0,4.0,4.0,4.0,0
2020-04-21,4.35,4.35,4.35,4.35,5300
2020-04-22,4.76,4.76,4.76,4.76,2100
2020-04-23,5.22,5.22,5.1,5.16,6500
2020-04-24,5.16,5.16,5.16,5.16,0
2020-04-27,5.16,5.16,5.16,5.16,0
2020-04-28,5.16,5.16,5.16,5.16,0
2020-04-29,5.16,5.16,5.16,5.16,100
2020-05-04,5.16,5.16,5.16,5.16,0
2020-05-05,5.16,5.16,5.16,5.16,0
2020-05-06,5.16,5.16,5.16,5.16,0
2020-05-07,5.16,5.16,5.16,5.16,0
2020-05-08,5.16,5.16,5.16,5.16,0
2020-05-11,5.16,5.16,5.16,5.16,0
2020-05-12,5.16,5.16,5.16,5.16,0
2020-05-13,5.16,5.16,5.16,5.16,0
2020-05-14,5.16,5.16,5.16,5.16,1000
2020-05-15,5.16,5.16,5.16,5.16,0
2020-05-18,5.16,5.16,5.16,5.16,0
2020-05-19,5.16,5.16,5.16,5.16,0
2020-05-20,5.16,5.16,5.16,5.16,0
2020-05-21,5.16,5.16,5.16,5.16,0
2020-05-22,4.93,4.93,4.93,4.93,1000
